,name,price,img_url,detail,flavor
10,ココアパウダーで仕上げたご褒美濃厚ティラミスチョコ,198,https://www.family.co.jp/content/dam/family/goods/4822837.jpg,マスカルポーネチーズパウダー配合のホワイトチョコでアーモンドをコーティングし、表面をココアパウダーで仕上げたティラミス風味のチョコです。,3
11,森永　ポテロングコクうま燻製チーズ味,151,https://www.family.co.jp/content/dam/family/goods/4920649.jpg,サクサクとした食感が特徴の「ポテロング」です。軽い食感と香り高い濃い燻製チーズ味が絶妙にマッチした味わいが楽しめます。,2
12,あとひく辛さカラマヨイーカミニ,118,https://www.family.co.jp/content/dam/family/goods/5010752.jpg,さくさく食感のイカフライをピリ辛なマヨネーズ風味に仕上げました。,2
13,すっきりとした酸味ひとくちカリカリ梅　大袋,320,https://www.family.co.jp/content/dam/family/goods/4723455.jpg,丁寧に種を抜いたひとくちサイズの梅を個包装にしました。1個ずつ個包装された大袋タイプです。,2
14,伯方の塩仕立て三陸産茎わかめ　大袋,320,https://www.family.co.jp/content/dam/family/goods/4723844.jpg,伯方の塩であっさりうす塩味に仕上げた、シャキシャキ食感の茎わかめです。1個ずつ個包装された大袋タイプです。,3
15,カリッと食感のバナナチップス,198,https://www.family.co.jp/content/dam/family/goods/4729990.jpg,ココナッツオイルで味付けした、カリッとした食感が楽しめるバナナチップスです。,1
16,ばかうけ濃厚4種のチーズ味,108,https://www.family.co.jp/content/dam/family/goods/4822806.jpg,エメンタール、カマンベール、ゴーダ、ブルーチーズの4種を使用した濃厚な味わいです。,3
17,素材のおいしさそのまま瀬戸内レモンピール,180,https://www.family.co.jp/content/dam/family/goods/4728788.jpg,瀬戸内レモンの果皮を使用した、素材のおいしさをそのまま味わっていただける、添加物不使用のレモンピールです。,1
18,ドラゴンポテトしおバター味,108,https://www.family.co.jp/content/dam/family/goods/4822738.jpg,くせになる独特な食感としおバター味が特徴のクルクル立体形状のポテトスナックです。,3
19,スコーンやみつきバーベキュー,108,https://www.family.co.jp/content/dam/family/goods/4822745.jpg,カリッとサクッとした軽い食感が特徴の濃厚なバーベキュー味のスコーンです。,3
20,ベビースタードデカイラーメンチキン味,108,https://www.family.co.jp/content/dam/family/goods/4822752.jpg,大きくて食べやすい幅広麺タイプのベビースターです。,3
21,明治ガム　アーモンドドラジェ濃厚チーズ味,189,https://www.family.co.jp/content/dam/family/goods/5021840.jpg,ローストアーモンドに濃厚なチーズ味の糖衣をコーティングした商品です。,1
22,チョコがたっぷり入ったチョコシュー,108,https://www.family.co.jp/content/dam/family/goods/4821106.jpg,サクサクのシューで包み込んだ一口サイズのチョコシューです。,1
23,ひとくちサイズのノアールミニ,108,https://www.family.co.jp/content/dam/family/goods/4822714.jpg,ココア風味のビスケットとバニラクリームの甘みが絶妙にマッチしたおいしさです。,1
24,サクサクか～るいカレースナック,108,https://www.family.co.jp/content/dam/family/goods/4822684.jpg,隠し味にりんごとハチミツを使用したまろやかなカレー味です。,3
25,サクサク厚切りポテト塩とごま油味,213,https://www.family.co.jp/content/dam/family/goods/4822691.jpg,焙煎ごま油を使用した、香ばしい香りと程よい塩味がきいた厚切りのポテトチップスです。,3
26,豊かな海鮮の旨み7種の海鮮ミックス,108,https://www.family.co.jp/content/dam/family/goods/4822615.jpg,7種をミックスした海鮮せんべいのアソートです。,3
27,堅揚げのポテトチップス絶品うすしお味,138,https://www.family.co.jp/content/dam/family/goods/4821083.jpg,くちどけのことなる2種の塩を使用し、 美味しく仕上げたカリカリ食感のポテトチップスです。,3
